iter	Logloss
0	0.6738977528
1	0.6494464485
2	0.627055729933	0.6081836005
4	0.5912837237
5	0.5802484576
6	0.5608915938
7	0.5487541481
8	0.5331882198
9	0.5230681222
10	0.5109229495
11	0.5026868981
12	0.491652941
13	0.4872298661
14	0.4821173959
15	0.4755296103
16	0.4674357279
17	0.4598617105
18	0.4512081034
19	0.446789631
20	0.4429347679
21	0.4365528256
22	0.4325798613
23	0.4297082743
24	0.4252363883
25	0.4232701737
26	0.4195227714
27	0.4138690285
28	0.4114355182
29	0.4068828571
30	0.4049075644
31	0.4023378386
32	0.4007032534
33	0.3987437947
34	0.3965334396
35	0.3948823447
36	0.3919831008
37	0.3872390372
38	0.385938108
39	0.3825971563
40	0.3789363559
41	0.3770091144
42	0.3750632097
43	0.3729039037
44	0.3715739242
45	0.3709724819
46	0.3697625038
47	0.3681011484
48	0.3668456102
49	0.3650141333
50	0.3641378112
51	0.3632406725
52	0.3617133791
53	0.3598671659
54	0.3587531634
55	0.3579024714
56	0.3563566838
57	0.3555876957
58	0.3546875169
59	0.3537829679
60	0.3531703573
61	0.3521862578
62	0.351291927
63	0.349264994
64	0.3479425304
65	0.3471993414
66	0.3447377097
67	0.3435568	0.3560747947
69	0.354851347
70	0.3544470076
71	0.3536016569
72	0.3530787307
73	0.3516930785
74	0.3509997563
75	0.3507616326
76	0.349512977
77	0.348794468
78	0.3477197342
79	0.3469217169
024626
6
