iter	Passed	Remaining
0	14	7434
1	29	7281
2	43	7230
3	58	7226
4	83	8298
5	104	8620
6	122	8608
7	137	8469
8	151	8271
9	165	8097
10	178	7955
11	192	7821
12	206	7720
13	219	7614
14	233	7536
15	248	7513
16	264	7521
17	282	7574
18	300	7608
19	316	7603
20	340	7770
21	354	7709
22	369	7665
23	384	7628
24	397	7554
25	411	7505
26	425	7451
27	440	7429
28	455	7392
29	475	7450
30	497	7519
31	514	7522
32	528	7484
33	543	7453
34	558	7415
35	572	7373
36	593	7422
37	609	7408
38	627	7414
39	646	7436
40	665	7451
41	680	7417
42	693	7366
43	706	7325
44	720	7288
45	734	7250
46	747	7204
47	761	7166
48	774	7131
49	788	7097
50	804	7082
51	823	7093
52	854	7206
53	868	7174
54	881	7134
55	895	7099
56	908	7063
57	922	7026
58	936	6997
59	949	6966
60	975	7019
61	991	7003
62	1012	7023
63	1028	7006
64	1042	6976
65	1056	6947
66	1071	6922
67	1094	6956
68	1108	6924
69	1122	6895
70	1137	6870
71	1154	6862
72	1175	6877
73	1195	6884
74	1211	6864
75	1224	6833
76	1237	6800
77	1251	6773
78	1266	6748
79	1279	6717
80	1293	6691
81	1307	6664
82	1320	6633
83	1346	6667
84	1367	6677
85	1381	6652
86	1395	6626
87	1408	6594
88	1422	6569
89	1436	6542
90	1448	6510
91	1463	6489
92	1476	6460
93	1490	6437
94	1510	6438
95	1532	6451
96	1547	6430
97	1561	6407
98	1574	6379
99	1589	6356
100	1613	6375
101	1627	6351
102	1641	6328
103	1655	6303
104	1677	6309
105	1693	6295
106	1710	6283
107	1725	6263
108	1739	6238
109	1753	6216
110	1768	6197
111	1782	6176
112	1796	6153
113	1811	6135
114	1826	6114
115	1842	6099
116	1879	6153
117	1894	6133
118	1909	6113
119	1923	6092
120	1937	6067
121	1950	6044
122	1965	6025
123	1979	6001
124	1992	5978
125	2008	5961
126	2030	5963
127	2052	5965
128	2068	5948
129	2083	5928
130	2097	5907
131	2118	5907
132	2133	5887
133	2148	5867
134	2161	5844
135	2174	5820
136	2192	5809
137	2219	5823
138	2235	5805
139	2249	5784
140	2262	5761
141	2276	5739
142	2289	5716
143	2303	5695
144	2317	5673
145	2330	5651
146	2356	5658
147	2375	5649
148	2391	5634
149	2405	5613
150	2421	5596
151	2435	5576
152	2451	5559
153	2465	5539
154	2480	5521
155	2495	5502
156	2509	5481
157	2523	5462
158	2543	5454
159	2562	5444
160	2579	5430
161	2593	5410
162	2615	5408
163	2628	5386
164	2642	5365
165	2655	5343
166	2668	5321
167	2682	5301
168	2696	5281
169	2712	5266
170	2731	5255
171	2752	5248
172	2768	5233
173	2782	5213
174	2795	5192
175	2810	5173
